Ty Detmer,13,83
Neil O'Donnell,17,82
Ahmard Hall,21,82
Marlon Barnes,14,82
Larry Croom,18,82
Derrius Thompson,9,82
Marques Tuiasosopo,13,81
Clifton Dawson,22,81
Rondell Mealey,16,81
Harold Morrow,15,81
Gartrell Johnson,19,81
Philly Brown,6,81
Andre Roberts,8,79
Josh Reed,9,79
Silas Redd,14,79
Johnny White,16,78
Andrew Hawkins,14,78
Doug Johnson,15,77
George Winn,15,77
Kyle Williams,8,76
Brandon Jones,6,76
Spergon Wynn,10,76
Jorvorskie Lane,11,76
Tim Brown,13,76
Antonio Bryant,9,75
Emmanuel Sanders,9,75
Isaiah Pead,15,75
Bruce Perry,14,74
Reggie Brown,11,73
Brandon Saine,15,73
Brandin Cooks,7,73
Larry Fitzgerald,11,73
Brian Milne,14,72
Cory Ross,10,72
Tommy Bohanon,19,72
David Palmer,10,70
Thomas Tapeh,17,70
Chad Johnson,7,70
Reidel Anthony,7,70
Brian Hartline,5,69
Rod Smart,21,69
Shyrone Stith,16,69
Anthony Allen,14,69
Frank Summers,18,69
Joe Morgan,2,68
Greg Comella,12,68
Reggie Hodges,1,68
Muhsin Muhammad,7,68
Jimmy Clausen,15,68
Jed Collins,23,68
Cedric Cobbs,20,68
Moran Norris,22,68
Chris Simms,16,67
Clifton Smith,13,67
Delanie Walker,7,66
T.J. Yates,9,66
Eric Weems,6,66
Billy Volek,13,66
Terrence Wilkins,9,66
Mario Manningham,4,66
Joe Horn,8,65
Denarius Moore,5,65
Troy Edwards,8,65
Matt Jones,10,65
Arrelious Benn,11,65
Dedric Ward,10,64
A.J. Feeley,19,64
Rashad Johnson,2,64
Steve Weatherford,4,64
Derrick Cullors,12,63
Billy Joe Hobert,10,63
Johnnie Lee Higgins,6,63
Jerrel Jernigan,3,63
Tim Castille,11,62
Spencer Larsen,16,62
Andrew Pinnock,14,62
Irving Fryar,5,62
John Beck,14,61
Thaddeus Lewis,17,61
Todd Heap,8,61
Erik Bickerstaff,15,61
James Davis,16,61
Marty Booker,9,60
Rodney Peete,10,60
Eddie Drummond,5,60
Kevin Williams,5,60
Dez White,4,60
Mossis Madu,13,59
Dexter Coakley,2,59
Kirk Cousins,10,59
Michael Westbrook,9,59
Jabar Gaffney,7,59
Kevin McDougal,11,59
Reggie Williams,7,59
Torry Holt,9,59
Dennis Dixon,7,59
Troy Williamson,6,58
Kendall Wright,5,58
Eric Moulds,10,58
Jimmy Wyrick,1,58
Rafael Cooper,11,57
Cedrick Wilson,3,57
Corey Walker,10,56
Keith Elias,15,56
Devin Thomas,4,55
Torrey Smith,4,55
Courtney Hawkins,6,55
Scott Tolzien,5,55
Joey Harris,11,54
